Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTE_M_R
25,NULL,Bareland,Wetland,NULL,Wetland,NULL
26,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
27,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
28,NULL,Bareland,Water,NULL,Water,NULL
29,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
30,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
31,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
32,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
33,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
34,NULL,Built-up,Wetland,NULL,Wetland,NULL
35,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
36,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
37,NULL,Built-up,Water,NULL,Water,NULL
38,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
39,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
40,NULL,Water,Grassland,NULL,Non_Wetland,NULL
41,NULL,Water,Cropland,NULL,Non_Wetland,NULL
42,NULL,Water,Wetland,NULL,Wetland,NULL
43,NULL,Water,Bareland,NULL,Non_Wetland,NULL
44,NULL,Water,Built-up,NULL,Non_Wetland,NULL
45,NULL,Water,Water,NULL,Water,NULL
46,NULL,Water,Forest,NULL,Non_Wetland,NULL
47,NULL,Forest,NULL,NULL,Non_Wetland,NULL
48,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
49,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
50,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
51,NULL,Forest,Wetland,NULL,Wetland,NULL
52,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
53,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
54,NULL,Forest,Water,NULL,Water,NULL
55,NULL,Forest,Forest,NULL,Non_Wetland,NULL
56,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
57,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
58,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
59,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
60,Grassland,NULL,Wetland,NULL,Wetland,NULL
61,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
62,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
63,Grassland,NULL,Water,NULL,Water,NULL
64,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
65,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
66,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
67,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
68,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
69,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
70,Grassland,Cropland,Water,NULL,Water,NULL
71,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
72,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL
73,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
74,Grassland,Wetland,Wetland,NULL,Wetland,NULL
75,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
76,Grassland,Wetland,Water,NULL,Water,NULL
77,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
78,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL
79,Grassland,Bareland,Cropland,NULL,Non_Wetland,NULL
80,Grassland,Bareland,Forest,NULL,Non_Wetland,NULL
81,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
82,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL
83,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
84,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL
85,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
86,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
87,Grassland,Water,Grassland,NULL,Non_Wetland,NULL
88,Grassland,Water,Wetland,NULL,Wetland,NULL
89,Grassland,Water,Water,NULL,Water,NULL
90,Grassland,Water,Forest,NULL,Non_Wetland,NULL
91,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
92,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
93,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
94,Grassland,Forest,Wetland,NULL,Wetland,NULL
95,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
96,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
97,Grassland,Forest,Water,NULL,Water,NULL
98,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
99,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
100,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
101,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
102,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
103,Cropland,NULL,Wetland,NULL,Wetland,NULL
104,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
105,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
106,Cropland,NULL,Water,NULL,Water,NULL
107,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
108,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
109,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
110,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
111,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
112,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
113,Cropland,Cropland,Water,NULL,Water,NULL
114,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
115,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
116,Cropland,Wetland,Wetland,NULL,Wetland,NULL
117,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL
118,Cropland,Wetland,Water,NULL,Water,NULL
119,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL
120,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
121,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
122,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
123,Cropland,Bareland,Wetland,NULL,Wetland,NULL
124,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
125,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
126,Cropland,Bareland,Water,NULL,Water,NULL
127,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL
128,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
129,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
130,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
131,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
132,Cropland,Built-up,Wetland,NULL,Wetland,NULL
133,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
134,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
135,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
136,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL
137,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
138,Cropland,Water,Wetland,NULL,Wetland,NULL
139,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
140,Cropland,Water,Water,NULL,Water,NULL
141,Cropland,Water,Forest,NULL,Non_Wetland,NULL
142,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
143,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
144,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
145,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
146,Cropland,Forest,Wetland,NULL,Wetland,NULL
147,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
148,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
149,Cropland,Forest,Water,NULL,Water,NULL
150,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
151,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
152,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
153,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
154,Wetland,NULL,Wetland,NULL,Wetland,NULL
155,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
156,Wetland,NULL,Water,NULL,Water,NULL
157,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
158,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL
159,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL
160,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL
161,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
162,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
163,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
164,Wetland,Wetland,Wetland,NULL,Wetland,NULL
165,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
166,Wetland,Wetland,Water,NULL,Water,NULL
167,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
168,Wetland,Bareland,Shrubland,NULL,Non_Wetland,NULL
169,Wetland,Bareland,Wetland,NULL,Wetland,NULL
170,Wetland,Bareland,Water,NULL,Water,NULL
171,Wetland,Bareland,Forest,NULL,Non_Wetland,NULL
172,Wetland,Built-up,Wetland,NULL,Wetland,NULL
173,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
174,Wetland,Water,Wetland,NULL,Wetland,NULL
175,Wetland,Water,Water,NULL,Water,NULL
176,Wetland,Water,Forest,NULL,Non_Wetland,NULL
177,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
178,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
179,Wetland,Forest,Wetland,NULL,Wetland,NULL
180,Wetland,Forest,Water,NULL,Water,NULL
181,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
182,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
183,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
184,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
185,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
186,Bareland,NULL,Wetland,NULL,Wetland,NULL
187,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
188,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
189,Bareland,NULL,Water,NULL,Water,NULL
190,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
191,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
192,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
193,Bareland,Cropland,Cropland,NULL,Non_Wetland,NULL
194,Bareland,Cropland,Wetland,NULL,Wetland,NULL
195,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
196,Bareland,Cropland,Forest,NULL,Non_Wetland,NULL
197,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL
198,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL
199,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL
200,Bareland,Wetland,Wetland,NULL,Wetland,NULL
201,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
202,Bareland,Wetland,Water,NULL,Water,NULL
203,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL
204,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
205,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
206,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
207,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
208,Bareland,Bareland,Wetland,NULL,Wetland,NULL
209,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
210,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
211,Bareland,Bareland,Water,NULL,Water,NULL
212,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL
213,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
214,Bareland,Built-up,Cropland,NULL,Non_Wetland,NULL
215,Bareland,Built-up,Wetland,NULL,Wetland,NULL
216,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
217,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
218,Bareland,Built-up,Water,NULL,Water,NULL
219,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL
220,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
221,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
222,Bareland,Water,Cropland,NULL,Non_Wetland,NULL
223,Bareland,Water,Wetland,NULL,Wetland,NULL
224,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
225,Bareland,Water,Built-up,NULL,Non_Wetland,NULL
226,Bareland,Water,Water,NULL,Water,NULL
227,Bareland,Water,Forest,NULL,Non_Wetland,NULL
228,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
229,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
230,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
231,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
232,Bareland,Forest,Wetland,NULL,Wetland,NULL
233,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
234,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL
235,Bareland,Forest,Water,NULL,Water,NULL
236,Bareland,Forest,Forest,NULL,Non_Wetland,NULL
237,Water,NULL,NULL,NULL,Non_Wetland,NULL
238,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
239,Water,NULL,Grassland,NULL,Non_Wetland,NULL
240,Water,NULL,Cropland,NULL,Non_Wetland,NULL
241,Water,NULL,Wetland,NULL,Wetland,NULL
242,Water,NULL,Bareland,NULL,Non_Wetland,NULL
243,Water,NULL,Built-up,NULL,Non_Wetland,NULL
244,Water,NULL,Water,NULL,Water,NULL
245,Water,NULL,Forest,NULL,Non_Wetland,NULL
246,Water,Cropland,Shrubland,NULL,Non_Wetland,NULL
247,Water,Cropland,Grassland,NULL,Non_Wetland,NULL
248,Water,Cropland,Cropland,NULL,Non_Wetland,NULL
249,Water,Cropland,Wetland,NULL,Wetland,NULL
250,Water,Cropland,Bareland,NULL,Non_Wetland,NULL
251,Water,Cropland,Built-up,NULL,Non_Wetland,NULL
252,Water,Cropland,Water,NULL,Water,NULL
253,Water,Cropland,Forest,NULL,Non_Wetland,NULL
254,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL
255,Water,Wetland,Grassland,NULL,Non_Wetland,NULL
256,Water,Wetland,Cropland,NULL,Non_Wetland,NULL
257,Water,Wetland,Wetland,NULL,Wetland,NULL
258,Water,Wetland,Bareland,NULL,Non_Wetland,NULL
259,Water,Wetland,Water,NULL,Water,NULL
260,Water,Wetland,Forest,NULL,Non_Wetland,NULL
261,Water,Bareland,NULL,NULL,Non_Wetland,NULL
262,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL
263,Water,Bareland,Grassland,NULL,Non_Wetland,NULL
264,Water,Bareland,Cropland,NULL,Non_Wetland,NULL
265,Water,Bareland,Wetland,NULL,Wetland,NULL
266,Water,Bareland,Bareland,NULL,Non_Wetland,NULL
267,Water,Bareland,Built-up,NULL,Non_Wetland,NULL
268,Water,Bareland,Water,NULL,Water,NULL
269,Water,Bareland,Forest,NULL,Non_Wetland,NULL
270,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL
271,Water,Built-up,Grassland,NULL,Non_Wetland,NULL
272,Water,Built-up,Cropland,NULL,Non_Wetland,NULL
273,Water,Built-up,Wetland,NULL,Wetland,NULL
274,Water,Built-up,Bareland,NULL,Non_Wetland,NULL
275,Water,Built-up,Built-up,NULL,Non_Wetland,NULL
276,Water,Built-up,Water,NULL,Water,NULL
277,Water,Built-up,Forest,NULL,Non_Wetland,NULL
278,Water,Water,NULL,NULL,Non_Wetland,NULL
279,Water,Water,Shrubland,NULL,Non_Wetland,NULL
280,Water,Water,Grassland,NULL,Non_Wetland,NULL
281,Water,Water,Cropland,NULL,Non_Wetland,NULL
282,Water,Water,Wetland,NULL,Wetland,NULL
283,Water,Water,Bareland,NULL,Non_Wetland,NULL
284,Water,Water,Built-up,NULL,Non_Wetland,NULL
285,Water,Water,Water,NULL,Water,NULL
286,Water,Water,Forest,NULL,Non_Wetland,NULL
287,Water,Forest,NULL,NULL,Non_Wetland,NULL
288,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
289,Water,Forest,Grassland,NULL,Non_Wetland,NULL
290,Water,Forest,Cropland,NULL,Non_Wetland,NULL
291,Water,Forest,Wetland,NULL,Wetland,NULL
292,Water,Forest,Bareland,NULL,Non_Wetland,NULL
293,Water,Forest,Built-up,NULL,Non_Wetland,NULL
294,Water,Forest,Water,NULL,Water,NULL
295,Water,Forest,Forest,NULL,Non_Wetland,NULL
296,Permanent_ice_and_snow,NULL,NULL,NULL,Non_Wetland,NULL
297,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL
298,Permanent_ice_and_snow,NULL,Cropland,NULL,Non_Wetland,NULL
299,Permanent_ice_and_snow,NULL,Bareland,NULL,Non_Wetland,NULL
300,Permanent_ice_and_snow,NULL,Water,NULL,Water,NULL
301,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL
302,Permanent_ice_and_snow,Bareland,Shrubland,NULL,Non_Wetland,NULL
303,Permanent_ice_and_snow,Bareland,Grassland,NULL,Non_Wetland,NULL
304,Permanent_ice_and_snow,Bareland,Wetland,NULL,Wetland,NULL
305,Permanent_ice_and_snow,Bareland,Water,NULL,Water,NULL
306,Permanent_ice_and_snow,Bareland,Forest,NULL,Non_Wetland,NULL
307,Permanent_ice_and_snow,Water,Shrubland,NULL,Non_Wetland,NULL
308,Permanent_ice_and_snow,Water,Cropland,NULL,Non_Wetland,NULL
309,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL
310,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL
311,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL
312,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,NULL
313,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL
314,Permanent_ice_and_snow,Forest,Cropland,NULL,Non_Wetland,NULL
315,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL
316,Forest,NULL,NULL,NULL,Non_Wetland,NULL
317,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
318,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
319,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
320,Forest,NULL,Wetland,NULL,Wetland,NULL
321,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
322,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
323,Forest,NULL,Water,NULL,Water,NULL
324,Forest,NULL,Forest,NULL,Non_Wetland,NULL
325,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
326,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
327,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
328,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
329,Forest,Cropland,Bareland,NULL,Non_Wetland,NULL
330,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL
331,Forest,Cropland,Water,NULL,Water,NULL
332,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
333,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
334,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL
335,Forest,Wetland,Cropland,NULL,Non_Wetland,NULL
336,Forest,Wetland,Wetland,NULL,Wetland,NULL
337,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL
338,Forest,Wetland,Built-up,NULL,Non_Wetland,NULL
339,Forest,Wetland,Water,NULL,Water,NULL
340,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
341,Forest,Bareland,Shrubland,NULL,Non_Wetland,NULL
342,Forest,Bareland,Grassland,NULL,Non_Wetland,NULL
343,Forest,Bareland,Cropland,NULL,Non_Wetland,NULL
344,Forest,Bareland,Wetland,NULL,Wetland,NULL
345,Forest,Bareland,Bareland,NULL,Non_Wetland,NULL
346,Forest,Bareland,Built-up,NULL,Non_Wetland,NULL
347,Forest,Bareland,Water,NULL,Water,NULL
348,Forest,Bareland,Forest,NULL,Non_Wetland,NULL
349,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
350,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
351,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL
352,Forest,Built-up,Wetland,NULL,Wetland,NULL
353,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL
354,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
355,Forest,Built-up,Water,NULL,Water,NULL
356,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
357,Forest,Water,NULL,NULL,Non_Wetland,NULL
358,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
359,Forest,Water,Grassland,NULL,Non_Wetland,NULL
360,Forest,Water,Cropland,NULL,Non_Wetland,NULL
361,Forest,Water,Wetland,NULL,Wetland,NULL
362,Forest,Water,Bareland,NULL,Non_Wetland,NULL
363,Forest,Water,Built-up,NULL,Non_Wetland,NULL
364,Forest,Water,Water,NULL,Water,NULL
365,Forest,Water,Forest,NULL,Non_Wetland,NULL
366,Forest,Forest,NULL,NULL,Non_Wetland,NULL
367,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
368,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
369,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
370,Forest,Forest,Wetland,NULL,Wetland,NULL
371,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
372,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
373,Forest,Forest,Water,NULL,Water,NULL
374,Forest,Forest,Forest,NULL,Non_Wetland,NULL
