Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LCE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LCE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LCE_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
55,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
63,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
64,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
65,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
66,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
81,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
93,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
94,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
95,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
96,NULL,NULL,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
98,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
99,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
100,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
101,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
102,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
103,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
104,NULL,NULL,Water,Water,Water,NULL,NULL,Water
105,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
106,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
121,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
123,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
127,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
138,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
140,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
147,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
148,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
150,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
151,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
153,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
154,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
157,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
158,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
159,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
161,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
162,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
164,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
165,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
166,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
167,NULL,Wetland,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
170,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
177,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
180,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
181,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
184,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
186,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
188,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
196,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
198,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
199,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
202,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
203,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
204,NULL,Bareland,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
205,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
206,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
207,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Bareland
209,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
210,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
211,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
214,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
228,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
229,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
231,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
232,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
233,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
234,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
238,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
241,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
244,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
245,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
246,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
247,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
248,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
249,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
250,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
251,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
252,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
253,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
254,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
256,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
257,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
258,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
259,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
262,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
264,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
269,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
270,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
272,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
273,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
276,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
277,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
278,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
279,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
280,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
282,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
284,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
286,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
287,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
289,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
290,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
291,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
292,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
293,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
294,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
295,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
296,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
297,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
298,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
300,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
301,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
302,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
303,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
304,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
306,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
307,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
308,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
309,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
310,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
311,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
312,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
313,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
314,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
315,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
316,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
317,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
318,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
320,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
321,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
323,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
324,NULL,Water,Water,NULL,Water,NULL,NULL,Wetland
325,NULL,Water,Water,NULL,Water,NULL,NULL,Bareland
326,NULL,Water,Water,NULL,Water,NULL,NULL,Water
327,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
328,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
329,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
330,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
331,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
332,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
333,NULL,Water,Water,Water,Water,NULL,NULL,Water
334,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
335,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
336,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
337,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
