Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PQR_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
3,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
5,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
7,NULL,NULL,Wetland,NULL,Wetland,NULL
8,NULL,NULL,Wetland,NULL,Wetland,Grassland
9,NULL,NULL,Wetland,NULL,Wetland,Wetland
10,NULL,NULL,Wetland,NULL,Wetland,Forest
11,NULL,NULL,Wetland,Non_Water,NULL,Wetland
12,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
13,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
14,NULL,NULL,Wetland,Water,Wetland,Wetland
15,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
16,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
17,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
18,NULL,NULL,Forest,NULL,Non_Wetland,Forest
19,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
20,NULL,Wetland,Water,Water,Water,Wetland
21,NULL,Wetland,Water,Water,Water,Water
22,NULL,Bareland,Wetland,Non_Water,Wetland,Built-up
23,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
24,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
25,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
26,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
27,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
28,NULL,Built-up,Wetland,NULL,Wetland,Grassland
29,NULL,Built-up,Wetland,NULL,Wetland,Wetland
30,NULL,Built-up,Wetland,NULL,Wetland,Built-up
31,NULL,Built-up,Wetland,NULL,Wetland,Forest
32,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
33,NULL,Built-up,Wetland,Water,Wetland,Built-up
34,NULL,Built-up,Wetland,Water,Wetland,Forest
35,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
36,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
37,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
38,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
39,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
40,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
41,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
42,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
43,NULL,Built-up,Water,Water,Water,Built-up
44,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
45,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
46,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
47,NULL,Water,Shrubland,Non_Water,Non_Wetland,Built-up
48,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
49,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
50,NULL,Water,Cropland,NULL,Non_Wetland,Water
51,NULL,Water,Wetland,NULL,Wetland,Wetland
52,NULL,Water,Wetland,NULL,Wetland,Built-up
53,NULL,Water,Wetland,NULL,Wetland,Water
54,NULL,Water,Wetland,NULL,Wetland,Forest
55,NULL,Water,Wetland,Non_Water,NULL,Wetland
56,NULL,Water,Wetland,Non_Water,Wetland,Grassland
57,NULL,Water,Wetland,Non_Water,Wetland,Wetland
58,NULL,Water,Wetland,Non_Water,Wetland,Bareland
59,NULL,Water,Wetland,Non_Water,Wetland,Water
60,NULL,Water,Wetland,Water,Wetland,Grassland
61,NULL,Water,Wetland,Water,Wetland,Wetland
62,NULL,Water,Wetland,Water,Wetland,Bareland
63,NULL,Water,Wetland,Water,Wetland,Water
64,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
65,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
66,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
67,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
68,NULL,Water,Built-up,Non_Water,Non_Wetland,Wetland
69,NULL,Water,Built-up,Non_Water,Non_Wetland,Built-up
70,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
71,NULL,Water,Built-up,Water,Non_Wetland,Built-up
72,NULL,Water,Built-up,Water,Non_Wetland,Water
73,NULL,Water,Water,Non_Water,Water,Water
74,NULL,Water,Water,Water,Water,Wetland
75,NULL,Water,Water,Water,Water,Water
76,NULL,Water,Forest,NULL,Non_Wetland,Water
77,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
78,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
79,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
80,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
81,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
82,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
83,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
84,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
85,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
86,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
87,NULL,Forest,Wetland,NULL,Wetland,Grassland
88,NULL,Forest,Wetland,NULL,Wetland,Wetland
89,NULL,Forest,Wetland,NULL,Wetland,Built-up
90,NULL,Forest,Wetland,NULL,Wetland,Forest
91,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
92,NULL,Forest,Wetland,Non_Water,Wetland,Water
93,NULL,Forest,Wetland,Non_Water,Wetland,Forest
94,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
95,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
96,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
97,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland
98,NULL,Forest,Built-up,Non_Water,Non_Wetland,Built-up
99,NULL,Forest,Water,NULL,Water,Grassland
100,NULL,Forest,Water,NULL,Water,Forest
101,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
102,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
103,NULL,Forest,Forest,NULL,Non_Wetland,Forest
104,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
105,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
106,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
107,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
108,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
109,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
110,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
111,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
112,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
113,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
114,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
115,Grassland,NULL,Wetland,NULL,Wetland,NULL
116,Grassland,NULL,Wetland,NULL,Wetland,Grassland
117,Grassland,NULL,Wetland,NULL,Wetland,Wetland
118,Grassland,NULL,Wetland,NULL,Wetland,Forest
119,Grassland,NULL,Wetland,Non_Water,NULL,Wetland
120,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
121,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
122,Grassland,NULL,Wetland,Water,Wetland,Wetland
123,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
124,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
125,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
126,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
127,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
128,Grassland,Wetland,Wetland,Water,Wetland,Wetland
129,Grassland,Wetland,Wetland,Water,Wetland,Water
130,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
131,Grassland,Water,NULL,Water,Non_Wetland,Bareland
132,Grassland,Water,NULL,Water,Non_Wetland,Water
133,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
134,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
135,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
136,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
137,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
138,Grassland,Water,Shrubland,Water,Non_Wetland,Bareland
139,Grassland,Water,Wetland,Non_Water,NULL,Wetland
140,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
141,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
142,Grassland,Water,Wetland,Non_Water,Wetland,Bareland
143,Grassland,Water,Wetland,Non_Water,Wetland,Water
144,Grassland,Water,Wetland,Water,NULL,Grassland
145,Grassland,Water,Wetland,Water,Wetland,Grassland
146,Grassland,Water,Wetland,Water,Wetland,Wetland
147,Grassland,Water,Wetland,Water,Wetland,Bareland
148,Grassland,Water,Wetland,Water,Wetland,Water
149,Grassland,Water,Built-up,NULL,Non_Wetland,Grassland
150,Grassland,Water,Built-up,Non_Water,Non_Wetland,Grassland
151,Grassland,Water,Built-up,Non_Water,Non_Wetland,Wetland
152,Grassland,Water,Water,Non_Water,Water,Wetland
153,Grassland,Water,Water,Water,NULL,Bareland
154,Grassland,Water,Water,Water,Water,Water
155,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
156,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
157,Grassland,Forest,Shrubland,Water,Non_Wetland,Bareland
158,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
159,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
160,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
161,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
162,Grassland,Forest,Wetland,NULL,Wetland,NULL
163,Grassland,Forest,Wetland,NULL,Wetland,Grassland
164,Grassland,Forest,Wetland,NULL,Wetland,Wetland
165,Grassland,Forest,Wetland,NULL,Wetland,Bareland
166,Grassland,Forest,Wetland,NULL,Wetland,Forest
167,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
168,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
169,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
170,Grassland,Forest,Wetland,Water,Wetland,Wetland
171,Grassland,Forest,Water,Water,Water,Wetland
172,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
173,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
174,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
175,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
176,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
177,Cropland,NULL,Wetland,NULL,Wetland,Grassland
178,Cropland,NULL,Wetland,NULL,Wetland,Forest
179,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
180,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
181,Cropland,Water,Wetland,NULL,Wetland,Water
182,Cropland,Water,Wetland,NULL,Wetland,Forest
183,Cropland,Water,Wetland,Non_Water,Wetland,Grassland
184,Cropland,Water,Wetland,Non_Water,Wetland,Wetland
185,Cropland,Water,Wetland,Non_Water,Wetland,Water
186,Cropland,Water,Wetland,Water,Wetland,Grassland
187,Cropland,Water,Wetland,Water,Wetland,Wetland
188,Cropland,Water,Wetland,Water,Wetland,Bareland
189,Cropland,Water,Wetland,Water,Wetland,Water
190,Cropland,Water,Water,Water,Water,Water
191,Cropland,Water,Water,Water,Water,Forest
192,Cropland,Water,Forest,Water,Non_Wetland,Water
193,Cropland,Water,Forest,Water,Non_Wetland,Forest
194,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
195,Cropland,Forest,Wetland,NULL,Wetland,NULL
196,Cropland,Forest,Wetland,NULL,Wetland,Grassland
197,Cropland,Forest,Wetland,NULL,Wetland,Wetland
198,Cropland,Forest,Wetland,NULL,Wetland,Bareland
199,Cropland,Forest,Wetland,NULL,Wetland,Water
200,Cropland,Forest,Wetland,NULL,Wetland,Forest
201,Cropland,Forest,Wetland,Non_Water,Wetland,Wetland
202,Cropland,Forest,Wetland,Non_Water,Wetland,Forest
