Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LNM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LNM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LNM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LNM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LNM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
112,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
113,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
114,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
