Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
181,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
182,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
183,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
185,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
186,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
188,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
189,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
190,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
191,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
