Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
