Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21PTK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21PTK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21PTK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
5,NULL,NULL,Shrubland,Water,Non_Wetland,Water
6,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
7,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
10,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,Cropland,Water,Non_Wetland,Water
12,NULL,NULL,Wetland,NULL,Wetland,Grassland
13,NULL,NULL,Wetland,NULL,Wetland,Wetland
14,NULL,NULL,Wetland,NULL,Wetland,Water
15,NULL,NULL,Wetland,NULL,Wetland,Forest
16,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
17,NULL,NULL,Wetland,Water,Wetland,Water
18,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
19,NULL,NULL,Water,Water,NULL,Water
20,NULL,NULL,Water,Water,Water,Wetland
21,NULL,NULL,Water,Water,Water,Water
22,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
23,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
24,NULL,NULL,Forest,NULL,Non_Wetland,Forest
25,NULL,Wetland,Water,Water,Water,Wetland
26,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
27,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
28,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
29,NULL,Built-up,Wetland,NULL,Wetland,Water
30,NULL,Built-up,Wetland,NULL,Wetland,Forest
31,NULL,Built-up,Wetland,Non_Water,Wetland,Water
32,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
33,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
34,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
35,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
36,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
37,NULL,Water,Shrubland,Water,Non_Wetland,Water
38,NULL,Water,Wetland,NULL,Wetland,Wetland
39,NULL,Water,Wetland,NULL,Wetland,Water
40,NULL,Water,Wetland,NULL,Wetland,Forest
