Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KRG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KRG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KRG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KRG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KRG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KRG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KRG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
82,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
83,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Cropland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
207,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Wetland
218,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
219,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
220,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
221,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
222,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Wetland
223,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
224,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
226,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
227,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
230,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
233,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
234,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
236,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
247,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
254,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
259,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
262,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
266,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Wetland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
270,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
271,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
272,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
273,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
274,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
276,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
278,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
279,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
282,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
284,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
285,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
286,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
287,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
291,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
292,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
296,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
298,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
302,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
303,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
304,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
305,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
310,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
312,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
313,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
315,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
316,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
317,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
319,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
321,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
322,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
323,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
