Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
