Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Water
34,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL
42,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Water
44,NULL,NULL,Grassland,Water,Non_Wetland,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
50,NULL,NULL,Cropland,NULL,Non_Wetland,Water
51,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL
58,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,Water
60,NULL,NULL,Cropland,Water,Non_Wetland,Forest
61,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
62,NULL,NULL,Wetland,Non_Water,Wetland,Water
63,NULL,NULL,Wetland,Non_Water,Wetland,Forest
64,NULL,NULL,Wetland,Water,Wetland,Grassland
65,NULL,NULL,Wetland,Water,Wetland,Water
66,NULL,NULL,Wetland,Water,Wetland,Forest
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
68,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
70,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
71,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
72,NULL,NULL,Bareland,NULL,Non_Wetland,Water
73,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
79,NULL,NULL,Bareland,Water,Non_Wetland,NULL
80,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
81,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
82,NULL,NULL,Bareland,Water,Non_Wetland,Water
83,NULL,NULL,Bareland,Water,Non_Wetland,Forest
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
85,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
88,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
89,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
93,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
94,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
95,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
96,NULL,NULL,Water,NULL,Water,NULL
97,NULL,NULL,Water,NULL,Water,Grassland
98,NULL,NULL,Water,NULL,Water,Bareland
99,NULL,NULL,Water,NULL,Water,Water
100,NULL,NULL,Water,NULL,Water,Forest
101,NULL,NULL,Water,Non_Water,Water,Grassland
102,NULL,NULL,Water,Non_Water,Water,Water
103,NULL,NULL,Water,Non_Water,Water,Forest
104,NULL,NULL,Water,Water,Water,NULL
105,NULL,NULL,Water,Water,Water,Grassland
106,NULL,NULL,Water,Water,Water,Bareland
107,NULL,NULL,Water,Water,Water,Water
108,NULL,NULL,Water,Water,Water,Forest
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL
110,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
112,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
113,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
114,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
115,NULL,NULL,Forest,NULL,Non_Wetland,Water
116,NULL,NULL,Forest,NULL,Non_Wetland,Forest
117,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
118,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
119,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
120,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
121,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
