Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
135,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
157,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
