Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MWV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MWV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MWV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MWV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MWV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MWV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
24,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
25,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
26,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
27,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
28,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
29,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
30,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
31,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
32,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
33,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
34,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
35,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
36,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Bareland,NULL
37,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
38,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
39,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
40,NULL,NULL,Water,NULL,Water,Water,Water,NULL
41,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
42,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
43,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
44,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
45,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
46,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
47,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,NULL
48,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
49,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,NULL
