Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MFV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MFV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MFV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MFV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MFV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MFV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MFV_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
89,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
91,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
92,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
94,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
97,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
101,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
102,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
103,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
104,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
105,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
107,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
108,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
109,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
229,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
231,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
232,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
233,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
234,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
235,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
236,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
237,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
238,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
239,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
240,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
241,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
242,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
243,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
244,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Forest
246,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
247,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
248,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
251,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
252,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
254,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
255,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
256,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
258,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
261,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
266,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
272,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
275,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
302,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
315,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
317,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
