Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KZU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KZU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
160,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
161,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
162,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Wetland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
