Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
47,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
