Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMM_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
68,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
69,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
70,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
71,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
72,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
73,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
74,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
75,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
76,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
77,NULL,NULL,Water,Water,Water,NULL,NULL,Water
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
86,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
99,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
106,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
107,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
108,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
109,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
111,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
114,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
115,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
116,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
117,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
119,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
120,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
122,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
127,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
128,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
129,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
133,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
134,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
135,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
137,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
141,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
142,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
143,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
145,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
154,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
164,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
166,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
174,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
178,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
180,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
181,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
182,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
185,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
186,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
187,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
188,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
189,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
192,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
194,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
196,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
197,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
198,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
199,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
200,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
201,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
202,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
203,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
204,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
205,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
206,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Water,Water,NULL,Water,NULL,NULL,Wetland
208,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
209,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
210,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
211,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
212,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
213,NULL,Water,Water,Water,Water,NULL,NULL,Water
214,NULL,Water,Water,Water,Water,NULL,NULL,Forest
215,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
217,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
219,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
220,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
221,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
222,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
223,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
225,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
227,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
229,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
231,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
236,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
238,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
239,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
240,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
241,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
242,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
244,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
245,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
249,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
254,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
255,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
256,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
257,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
259,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
261,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
262,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
263,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
264,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
265,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
266,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
268,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
269,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
271,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
272,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
273,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
274,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
275,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
276,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
279,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
281,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
283,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
284,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
285,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
286,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
287,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
288,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
289,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
290,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
291,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
292,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
293,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
294,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
295,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
296,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
297,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
298,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
300,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
301,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
303,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
304,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
305,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
306,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
307,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
310,Cropland,Water,Water,Water,Water,NULL,NULL,Water
311,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
312,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
313,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
314,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
315,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,Wetland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
317,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
318,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
320,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
321,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
322,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
323,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
324,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
326,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
327,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
328,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
329,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
330,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
331,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
332,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
333,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
334,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
335,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
336,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
337,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
338,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
339,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
340,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
