Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQE_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
54,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
60,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
75,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
76,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
77,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
85,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
86,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
88,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
89,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
92,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
94,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
100,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
112,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
114,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
116,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
118,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
120,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
131,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
132,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
133,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
135,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
136,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
137,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
138,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
139,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
140,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
142,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
143,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
144,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
146,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
150,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
157,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
160,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
161,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
162,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
164,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
166,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
167,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
176,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
180,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
181,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
182,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
183,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
184,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
185,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
186,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
187,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
189,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
190,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
191,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
192,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
194,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
195,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
196,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
197,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
198,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
199,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
200,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
202,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
203,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
204,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
205,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
206,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
207,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
209,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
210,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
211,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
212,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
213,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
214,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
215,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
216,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
217,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
218,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
220,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
221,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
222,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
223,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
224,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
225,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
226,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
227,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
228,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
229,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
230,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
231,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
232,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
233,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
234,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
235,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
236,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
237,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
238,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
239,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
240,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
241,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
242,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
243,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
244,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
245,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
246,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
247,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
249,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
250,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
251,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
252,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
253,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
254,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
255,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
256,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
257,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
258,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
259,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
260,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
262,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
263,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
264,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
265,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
267,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
268,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
269,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
270,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
271,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
272,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
273,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
274,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
275,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
277,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
278,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
279,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
281,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
283,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
284,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
285,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
286,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
287,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
288,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
289,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
290,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
291,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
292,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
293,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
294,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
295,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
296,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
297,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
298,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
299,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
300,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
302,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
303,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
304,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
305,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
307,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
308,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
310,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
311,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
312,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
313,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
314,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
315,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
316,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
317,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
318,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
319,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
320,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
321,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
322,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
323,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
324,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
325,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
326,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
327,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
328,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
329,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
330,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
331,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
332,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
