Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCD_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
19,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
24,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
25,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
26,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
27,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
28,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
