Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
