Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KRV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KRV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KRV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KRV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KRV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KRV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KRV_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
113,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
115,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
117,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
119,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
120,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
122,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
123,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
124,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
126,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
127,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
128,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
130,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
131,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
132,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
133,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
134,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
135,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
136,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
137,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
138,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
140,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
141,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
142,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
143,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
144,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
145,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
146,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
147,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
148,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
149,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
150,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
151,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
152,NULL,NULL,Water,Water,Water,NULL,NULL,Water
153,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
165,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
166,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
167,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
168,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
172,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
173,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
174,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
175,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
176,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
180,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
183,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
185,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
187,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
188,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,NULL
189,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
191,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
192,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
193,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
197,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
200,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
204,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
206,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
207,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
210,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
211,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
213,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
219,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
221,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
222,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
224,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
226,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
227,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
228,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
229,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
230,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,NULL
231,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
233,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
234,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
235,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Built-up
236,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
237,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
238,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
239,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
240,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
241,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
242,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
243,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
244,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
245,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
246,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
247,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
248,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,NULL
249,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
250,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
251,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
252,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
253,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
254,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
255,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
257,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
259,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
261,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
263,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
266,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
267,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
268,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
269,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
270,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
272,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
278,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
279,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,NULL
280,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
282,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
283,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
284,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
285,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
286,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
287,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
288,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,NULL
289,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
290,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
291,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
292,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
293,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
294,NULL,Cropland,Water,Water,Water,NULL,NULL,NULL
295,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
296,NULL,Cropland,Water,Water,Water,NULL,NULL,Cropland
297,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
298,NULL,Cropland,Water,Water,Water,NULL,NULL,Bareland
299,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
300,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
301,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
302,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
304,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
305,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
306,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
307,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
308,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
309,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
310,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
312,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
313,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
314,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
315,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
316,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,NULL
317,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
319,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
320,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
321,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
322,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
327,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
328,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
331,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
332,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
333,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
334,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
336,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
337,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
338,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
339,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
340,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
341,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
342,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
