Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Water
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
206,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
207,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
208,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
209,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Water
210,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
