Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHF_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
104,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
106,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
117,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
119,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
120,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
121,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
122,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
123,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
124,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
125,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
126,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
127,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
128,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
129,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
130,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
131,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
132,NULL,NULL,Water,Water,Water,NULL,NULL,Water
133,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
145,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
146,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
147,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
148,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
149,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
151,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
152,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
153,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
168,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
171,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
172,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
173,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
179,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
180,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
181,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
182,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
185,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
189,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
191,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
192,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
194,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
199,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
201,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
204,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
207,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
208,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
209,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
210,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
211,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
212,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
213,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
214,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
215,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
216,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
217,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
218,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,NULL
219,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
220,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
221,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
222,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
223,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
225,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
226,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
227,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
228,NULL,Wetland,Water,NULL,Water,NULL,NULL,Forest
229,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
230,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
231,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
232,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
233,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
234,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
235,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
236,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
237,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
240,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
243,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
244,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
245,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
246,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
253,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
254,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
257,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
258,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
260,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
263,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
268,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
269,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
270,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
272,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
273,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
274,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
277,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
279,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
282,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
283,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
284,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
285,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
286,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
287,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
288,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
289,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
290,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
291,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
292,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
293,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
294,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
295,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
297,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
298,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
299,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
300,NULL,Water,Water,Water,Water,NULL,NULL,Water
301,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
302,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
304,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
305,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
306,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
309,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
310,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
312,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
313,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
316,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
318,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
319,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
320,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
321,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
324,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
325,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
328,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
329,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
330,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
331,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
332,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
333,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
334,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
335,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
336,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
337,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
338,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
339,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
340,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
341,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
342,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
343,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
344,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
345,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
