Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
129,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
135,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
320,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
321,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
322,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Forest
