Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLP_M_R
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
140,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
141,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
146,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
147,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
148,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
172,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
182,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
183,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
187,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
190,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
191,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
198,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
201,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
202,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
203,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
206,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
208,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
212,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
223,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
224,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
225,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
227,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
230,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
233,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
236,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
238,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Built-up,Grassland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
244,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
245,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
246,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
249,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
250,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
251,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
255,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
257,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
259,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
260,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
263,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
264,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
266,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
267,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Water
268,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
272,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
274,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
277,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
279,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
280,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
281,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
282,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
283,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
284,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
285,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
286,NULL,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
287,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
288,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
289,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
290,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
291,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
292,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
293,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
294,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
295,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
296,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
297,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
298,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
299,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Water
301,NULL,NULL,Wetland,Water,Wetland,Grassland,Grassland,Water
302,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
303,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
304,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Built-up
306,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
307,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
308,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
309,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Forest
310,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
312,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
313,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
315,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
316,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
317,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
318,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
319,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
321,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
322,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
323,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
