Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KFE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KFE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KFE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KFE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KFE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Cropland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Forest,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Forest,Forest
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Cropland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
213,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
214,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
216,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
217,NULL,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Forest
218,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
219,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
220,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
221,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
222,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
