Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MEE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MEE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
40,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
42,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
43,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
44,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
45,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
46,NULL,NULL,Wetland,NULL,NULL,Wetland,Wetland,NULL
47,NULL,NULL,Wetland,NULL,NULL,Wetland,Water,NULL
48,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
50,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
51,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
52,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
53,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
54,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
55,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
56,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
57,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
58,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
60,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
61,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
62,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
63,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
64,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,NULL
65,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,NULL
66,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
67,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
68,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
69,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
70,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
71,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
72,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
73,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
74,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
