Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
61,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
64,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
66,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
