Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
17,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
33,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
