Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
61,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
63,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
64,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
66,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
67,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
