Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
