Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MMU_M_R
33,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
35,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
36,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
37,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
59,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
60,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
62,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
63,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
64,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Built-up,Grassland
66,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
69,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
70,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Built-up,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
83,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
95,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
96,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
97,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
99,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Built-up,Grassland
100,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Built-up,Grassland
103,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
104,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
105,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
109,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
112,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
114,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
116,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
119,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
120,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Water
122,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
123,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Built-up
124,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
125,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
126,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
128,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
129,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
130,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Built-up,Grassland
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
133,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
134,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
142,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
144,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Water
145,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
146,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
147,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
148,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
149,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
150,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
151,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
152,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
153,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Built-up,Grassland
154,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
156,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
157,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Built-up,Grassland
158,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
159,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
160,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
161,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
162,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
163,NULL,NULL,Wetland,Water,Wetland,Grassland,Built-up,Grassland
164,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
165,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
166,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
167,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
168,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
169,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
170,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
171,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
172,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
173,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
174,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
175,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
176,NULL,NULL,Wetland,Water,Wetland,Water,Built-up,Grassland
177,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
178,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
179,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
180,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
181,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
182,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
183,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
184,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
185,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
186,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
187,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
188,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
189,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
190,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
191,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Built-up,Grassland
192,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Grassland,Grassland
193,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
195,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
196,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
197,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
198,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
201,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
202,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
203,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
204,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
206,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
207,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
208,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
209,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
210,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
211,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
212,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Built-up,Grassland
214,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
215,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Built-up,Grassland
216,NULL,NULL,Built-up,Water,Non_Wetland,Water,Bareland,Grassland
217,NULL,NULL,Built-up,Water,Non_Wetland,Water,Built-up,Grassland
218,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Grassland
219,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
220,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
221,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
222,NULL,NULL,Water,Water,Water,Grassland,Wetland,Grassland
223,NULL,NULL,Water,Water,Water,Grassland,Built-up,Grassland
224,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
225,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
226,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
227,NULL,NULL,Water,Water,Water,Water,Wetland,Water
228,NULL,NULL,Water,Water,Water,Water,Water,Wetland
229,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
230,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
232,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
237,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Built-up
238,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
239,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
240,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
242,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
243,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
245,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
246,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
248,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
249,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
250,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
252,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
253,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
254,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
256,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
259,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
260,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
261,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
262,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
263,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
264,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Bareland,Grassland
265,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
266,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
267,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
268,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
269,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
270,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
271,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
272,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
273,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
274,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
275,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
276,NULL,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
277,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
278,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
279,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
280,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
281,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
282,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
283,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Water,Grassland
284,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
285,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
286,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
287,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
288,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
289,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
290,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
291,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
292,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
293,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
294,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
295,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
296,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
297,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
298,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
299,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
300,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
301,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
302,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
303,NULL,Bareland,Wetland,Water,Wetland,Water,Built-up,Wetland
304,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
306,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
307,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
308,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
309,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
310,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
311,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
312,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
313,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
315,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
316,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
317,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
318,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
319,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
320,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
321,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
322,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
323,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
324,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
325,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
326,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
327,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
328,NULL,Built-up,NULL,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
329,NULL,Built-up,NULL,Water,Non_Wetland,Grassland,Built-up,Grassland
330,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
331,NULL,Built-up,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
332,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Built-up,Grassland
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
