Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20PPS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
10,NULL,NULL,NULL,Water,Non_Wetland,Bareland
11,NULL,NULL,NULL,Water,Non_Wetland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
24,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,Water
46,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
47,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
54,NULL,NULL,Cropland,Water,Non_Wetland,Water
55,NULL,NULL,Wetland,NULL,Wetland,NULL
56,NULL,NULL,Wetland,NULL,Wetland,Grassland
57,NULL,NULL,Wetland,NULL,Wetland,Wetland
58,NULL,NULL,Wetland,NULL,Wetland,Built-up
59,NULL,NULL,Wetland,NULL,Wetland,Water
60,NULL,NULL,Wetland,NULL,Wetland,Forest
61,NULL,NULL,Wetland,Non_Water,NULL,Grassland
62,NULL,NULL,Wetland,Non_Water,NULL,Wetland
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL
64,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
66,NULL,NULL,Wetland,Non_Water,Wetland,Water
67,NULL,NULL,Wetland,Non_Water,Wetland,Forest
68,NULL,NULL,Wetland,Water,Wetland,Grassland
69,NULL,NULL,Wetland,Water,Wetland,Wetland
70,NULL,NULL,Wetland,Water,Wetland,Water
71,NULL,NULL,Wetland,Water,Wetland,Forest
72,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
73,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
74,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
75,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
76,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
77,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
78,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
81,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
83,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
84,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
85,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Water
89,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
90,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
91,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
96,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
97,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
98,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
99,NULL,NULL,Water,NULL,Water,Grassland
100,NULL,NULL,Water,NULL,Water,Bareland
101,NULL,NULL,Water,NULL,Water,Built-up
102,NULL,NULL,Water,Non_Water,NULL,Grassland
103,NULL,NULL,Water,Non_Water,Water,Grassland
104,NULL,NULL,Water,Non_Water,Water,Wetland
105,NULL,NULL,Water,Water,Water,Grassland
106,NULL,NULL,Water,Water,Water,Wetland
107,NULL,NULL,Water,Water,Water,Water
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL
109,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
111,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
112,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
113,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
114,NULL,NULL,Forest,NULL,Non_Wetland,Forest
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
119,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
120,NULL,NULL,Forest,Water,Non_Wetland,Grassland
121,NULL,NULL,Forest,Water,Non_Wetland,Wetland
