Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LPQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
