Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
