Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MNN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Water
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
226,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
229,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
230,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
231,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
233,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
235,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
236,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
237,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
238,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
239,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
240,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Forest
241,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
242,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
243,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
244,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
245,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
