Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NTG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
23,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,Forest
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
44,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
45,NULL,NULL,Cropland,Water,Non_Wetland,NULL
46,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
47,NULL,NULL,Cropland,Water,Non_Wetland,Forest
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Bareland
50,NULL,NULL,Wetland,NULL,Wetland,Forest
51,NULL,NULL,Wetland,Non_Water,Wetland,Forest
52,NULL,NULL,Wetland,Water,Wetland,Grassland
53,NULL,NULL,Wetland,Water,Wetland,Forest
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
55,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
58,NULL,NULL,Bareland,NULL,Non_Wetland,Water
59,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
61,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
65,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
66,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
68,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
69,NULL,NULL,Water,NULL,Water,NULL
70,NULL,NULL,Water,NULL,Water,Grassland
71,NULL,NULL,Water,NULL,Water,Bareland
72,NULL,NULL,Water,NULL,Water,Water
73,NULL,NULL,Water,NULL,Water,Forest
74,NULL,NULL,Water,Non_Water,Water,Grassland
75,NULL,NULL,Water,Non_Water,Water,Bareland
76,NULL,NULL,Water,Non_Water,Water,Water
77,NULL,NULL,Water,Non_Water,Water,Forest
78,NULL,NULL,Water,Water,Water,Grassland
79,NULL,NULL,Water,Water,Water,Bareland
80,NULL,NULL,Water,Water,Water,Water
81,NULL,NULL,Water,Water,Water,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL
83,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
84,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
85,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
86,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
87,NULL,NULL,Forest,NULL,Non_Wetland,Water
88,NULL,NULL,Forest,NULL,Non_Wetland,Forest
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
90,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
91,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
92,NULL,NULL,Forest,Water,Non_Wetland,Grassland
93,NULL,NULL,Forest,Water,Non_Wetland,Cropland
94,NULL,NULL,Forest,Water,Non_Wetland,Bareland
95,NULL,NULL,Forest,Water,Non_Wetland,Water
96,NULL,NULL,Forest,Water,Non_Wetland,Forest
97,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
98,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
99,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
100,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
101,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
108,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
109,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
113,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Wetland,NULL,Wetland,Grassland
