Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
89,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
90,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
