Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
8,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
16,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Grassland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
21,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
24,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
26,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
27,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
28,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
30,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
31,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
34,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
35,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
36,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
37,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
38,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
39,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
41,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
42,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
43,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
45,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
46,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
47,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
49,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
50,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
52,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
53,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
54,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
55,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
