Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVQ_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Built-up
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
87,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
113,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
114,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
115,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
116,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
117,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
118,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
119,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
120,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
121,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
122,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
123,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
124,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
125,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
126,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
127,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
128,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
129,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
130,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
131,NULL,NULL,Water,Water,Water,NULL,NULL,Water
132,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
143,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
145,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
147,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
148,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
149,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
151,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
152,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
153,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
155,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
157,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
158,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
159,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
160,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
161,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
167,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
168,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
172,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
174,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
177,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
181,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
182,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
183,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
189,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
190,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
193,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
198,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
200,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
201,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
203,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
204,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
205,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
206,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
207,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
211,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
215,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
219,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
220,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
221,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
222,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
223,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
224,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
225,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
226,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
227,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
228,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
229,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
230,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
232,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
233,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
234,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
235,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
236,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
238,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
239,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
240,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
241,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
242,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
243,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
245,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
246,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
247,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
248,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
249,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
250,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
251,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
252,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
254,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
257,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
259,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
261,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
262,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
264,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
267,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
268,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
269,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
270,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
271,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
272,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
273,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
274,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
275,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
276,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
277,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
278,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
279,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
280,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
282,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
283,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
285,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
286,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
287,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
288,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
289,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
290,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
291,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
294,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
295,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
296,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
301,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
302,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
303,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
304,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
305,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
306,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
307,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
308,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
309,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
310,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
312,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
313,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
314,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
316,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
317,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
318,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
319,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
321,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
323,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
325,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
326,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
327,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
329,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
330,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
332,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
333,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
334,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
337,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
