Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Cropland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Built-up
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Bareland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Built-up
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Bareland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
249,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
251,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
253,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
254,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
255,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
256,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
257,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
258,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
259,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
260,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
261,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
263,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
266,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
267,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
268,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
270,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
271,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
272,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
274,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
275,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Cropland
277,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
