Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LHQ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
173,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
174,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
175,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
176,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
177,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Water
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
