Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
