Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQK_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
98,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
100,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
268,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
269,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
270,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
272,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
273,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
274,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
275,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
276,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Forest
277,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
278,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,NULL
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
290,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
291,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
292,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
293,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
294,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
295,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
296,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
297,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
298,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
300,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
302,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
304,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
305,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
307,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
308,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
310,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
311,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
312,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Cropland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
317,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
320,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
321,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
