Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MUN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MUN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MUN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MUN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MUN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
