Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Bareland
