Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KNF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KNF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KNF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KNF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KNF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KNF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KNF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KNF_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
63,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
69,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
75,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
82,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Built-up
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
88,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
91,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
93,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
94,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
123,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
124,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
128,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
129,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
130,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
131,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
132,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
133,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
134,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
135,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
136,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
137,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
138,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
139,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
140,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
141,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
142,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
143,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
144,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
145,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
146,NULL,NULL,Water,Water,Water,NULL,NULL,Water
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
156,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
158,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
159,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
161,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
162,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
164,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
165,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
166,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
167,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
168,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
171,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
173,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
175,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
176,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
177,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
178,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
181,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
182,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
183,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
185,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
188,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
189,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
190,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
191,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
192,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
199,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
201,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
204,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
208,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
209,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
212,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
213,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
214,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
215,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
217,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
219,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
220,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
221,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
222,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
223,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
224,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
225,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
226,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
227,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
228,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
229,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
230,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
231,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
232,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
233,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
234,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
235,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
236,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
237,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
238,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
239,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
240,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
241,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
244,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
248,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
250,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
251,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
254,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
255,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
257,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Water
259,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
260,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
262,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
264,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
267,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Water
268,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
269,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
270,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
271,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
272,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
273,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
274,NULL,Cropland,Water,NULL,Water,NULL,NULL,Built-up
275,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
276,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
277,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
278,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Cropland
279,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
280,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
281,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
282,NULL,Cropland,Water,Water,Water,NULL,NULL,Cropland
283,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
284,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
285,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
286,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
287,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
289,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
290,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
291,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
292,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
293,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
294,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
295,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
297,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
298,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
299,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
300,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
301,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
303,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
305,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
306,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
311,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
312,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
313,NULL,Wetland,Water,NULL,Water,NULL,NULL,Water
314,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Water
315,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
317,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
319,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
320,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
322,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
323,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
324,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
325,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
328,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
330,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
331,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
332,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
333,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
334,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
335,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
336,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
337,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
338,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
