Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KRT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
155,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
158,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
172,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
173,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
174,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
175,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
176,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
177,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
178,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
179,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
180,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
181,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
182,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
183,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
184,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
186,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
187,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
188,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
189,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
190,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
191,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
192,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
