Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
171,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
172,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
173,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
174,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
175,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
176,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
177,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Bareland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
