Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LRH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LRH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LRH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LRH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LRH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LRH_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Cropland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Cropland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,NULL
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Cropland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Cropland
230,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
231,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
233,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
234,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
235,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
236,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
237,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
238,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
239,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
240,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
241,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
242,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
243,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,NULL
244,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
245,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,NULL
246,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Grassland
247,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
248,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
249,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
250,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
251,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
252,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
253,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
254,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
255,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
256,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
258,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
259,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
260,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
261,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
262,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,NULL
263,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
264,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
266,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
267,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Water
268,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
269,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Bareland
270,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
271,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Wetland
272,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
273,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
289,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
328,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
329,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
