Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LPK_M_R
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
42,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
65,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
66,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
67,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
68,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
69,NULL,NULL,Water,Water,Water,NULL,NULL,Water
70,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
78,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
83,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
87,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
90,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
93,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
94,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
95,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
96,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
98,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
99,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
100,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
101,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
102,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
103,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
104,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
105,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
106,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
107,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
108,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
109,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
110,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
112,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
113,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
114,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
115,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
119,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
120,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
122,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
123,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
129,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
130,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
137,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
143,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
145,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
150,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
154,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
155,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
156,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
157,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
158,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
159,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
160,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
161,NULL,Water,Water,Water,Water,NULL,NULL,Water
162,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
163,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
164,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
166,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
170,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
173,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
177,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
183,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
184,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
185,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
186,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
187,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
188,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
189,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
190,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
191,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
192,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
193,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
198,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
199,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
200,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
201,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
202,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
203,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
204,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
206,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
209,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
211,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
212,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
214,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
216,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
217,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
218,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
219,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
220,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
221,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
222,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
224,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
225,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
226,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
227,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
228,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
229,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
230,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
231,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
232,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
233,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
234,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
235,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
236,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
237,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
238,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
239,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
240,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
241,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
242,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
243,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
244,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
245,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
246,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
247,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
248,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
249,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
250,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
251,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
252,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
253,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
254,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
255,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
256,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
257,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
258,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
259,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
260,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
262,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
263,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
265,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
266,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
268,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
269,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
271,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
272,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
273,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
274,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
275,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
276,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
278,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
279,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
280,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
281,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
282,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
283,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
284,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
285,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
286,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
287,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
288,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
289,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
290,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
291,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
292,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
293,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
294,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
295,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
296,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
297,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
298,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
299,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
300,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
302,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
303,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
304,Grassland,Wetland,Water,NULL,Water,NULL,NULL,Forest
305,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
306,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
307,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
308,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
309,Grassland,Wetland,Water,Water,Water,NULL,NULL,Forest
310,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
311,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
312,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
313,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
314,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
315,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
316,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
320,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
321,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
322,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
323,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
324,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
325,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
326,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
327,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
328,Grassland,Water,Water,NULL,Water,NULL,NULL,Wetland
329,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
330,Grassland,Water,Water,Water,Water,NULL,NULL,Wetland
331,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
332,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
333,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
334,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
335,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
338,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
339,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
340,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
341,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
