Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
172,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
173,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
174,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
