Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
35,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
37,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
