Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LLJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LLJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LLJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LLJ_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
108,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
109,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
110,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
111,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
112,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
113,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
114,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
115,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
116,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
117,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
118,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
119,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
120,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
121,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
122,NULL,NULL,Water,Water,Water,NULL,NULL,Water
123,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
124,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
132,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
133,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
134,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
135,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
138,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
139,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
141,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
142,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
143,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
146,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
147,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
148,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
151,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
161,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
163,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
165,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
170,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
172,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
173,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
174,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
176,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
180,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
185,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
186,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
187,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
188,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
189,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
190,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
191,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
192,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
193,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
194,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
197,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
198,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
199,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
200,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
201,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
203,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
205,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
206,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
213,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
215,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
216,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
217,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
218,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
219,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
220,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
221,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
222,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
223,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
224,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
225,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
227,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
228,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
229,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
231,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
233,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
234,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
235,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
237,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
240,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
241,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
244,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
245,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
247,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
248,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
250,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
251,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
253,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
255,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
256,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
257,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
259,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
260,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
261,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
262,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
264,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
265,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
268,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
269,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
270,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
271,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
272,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
273,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
274,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
275,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
276,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
277,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
278,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
279,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
280,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
281,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
283,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
285,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
286,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
287,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
289,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
290,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
291,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
292,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
294,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
295,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
297,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
299,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
300,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
301,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
302,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
312,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
313,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
314,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
315,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
316,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
317,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
318,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
321,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
324,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
325,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
326,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
327,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
328,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
329,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
331,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
332,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
333,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Cropland
334,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
335,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
336,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
337,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
338,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
