Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
24,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
37,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
38,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
54,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
56,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
59,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
66,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Water
68,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
70,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
74,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
75,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
76,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
77,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Water
78,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
79,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Water
80,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
81,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Water
82,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
83,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Bareland,Water
84,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Built-up,Grassland
85,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Built-up,Water
86,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Built-up,Forest
87,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
88,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
