Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KBG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KBG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KBG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KBG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KBG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KBG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KBG_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
190,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
191,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
192,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
193,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
