Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KMD_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
79,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
82,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
83,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
111,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
113,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
114,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
115,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
116,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
117,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
118,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
119,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
120,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
121,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
122,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
123,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
124,NULL,NULL,Water,Water,Water,NULL,NULL,Water
125,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
126,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
134,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
136,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
138,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
139,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
140,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
142,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
143,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
147,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
149,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
150,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
151,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
152,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
159,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
160,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
161,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
163,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
170,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
172,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
173,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
174,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
175,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
176,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
180,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
184,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
186,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
188,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
189,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
191,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
194,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
198,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
199,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
200,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
204,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
205,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
206,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
207,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
208,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
211,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
212,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
213,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
216,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
218,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
219,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
220,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
223,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
225,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
226,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
228,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
230,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
231,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
232,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
234,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
235,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
236,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
240,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
241,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
243,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
244,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
245,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
246,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
248,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
251,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
252,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
253,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
255,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
256,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
258,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
259,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
261,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
263,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
264,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
265,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
267,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
268,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
269,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
270,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
272,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
273,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
275,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
277,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
278,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
279,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
281,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
282,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
283,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
285,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
286,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
287,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
290,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
291,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
293,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
294,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
295,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
297,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
298,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
299,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
301,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
303,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
304,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
305,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
306,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
307,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
309,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
311,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
312,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
313,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
315,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
317,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
318,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
319,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
320,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
323,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
324,NULL,Water,Water,NULL,Water,NULL,NULL,Water
325,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
326,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
327,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
328,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
330,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
332,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
333,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
334,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
335,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
336,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
337,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
