Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KND_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KND_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KND_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KND_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KND_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KND_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KND_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KND_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
69,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
77,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
81,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
82,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
83,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
84,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
85,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
86,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
90,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
94,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
97,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
117,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
118,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
120,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
124,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
130,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
134,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
135,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
136,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
141,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
142,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
143,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
145,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Grassland
147,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
150,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
151,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
159,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
162,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
177,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
181,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
183,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
197,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
198,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
199,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
200,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
201,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
202,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
203,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
204,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
207,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
208,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
211,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
212,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
213,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
214,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
218,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Forest,Water,NULL,Water,NULL,NULL,NULL
224,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
225,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
226,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
227,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
228,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
230,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
231,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
232,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
233,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
234,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
236,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
237,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
238,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
240,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
241,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
242,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
243,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
244,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
245,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
246,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
247,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
248,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
249,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
250,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
251,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
252,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
253,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
254,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
255,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
256,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
257,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
259,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
260,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
261,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
262,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
263,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
264,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
265,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
266,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
267,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
268,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
271,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
272,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
273,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
274,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
275,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
276,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
278,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
279,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
280,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
281,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
282,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
283,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
284,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
285,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
286,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
287,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
288,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
289,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
290,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
291,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
292,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
293,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
294,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
295,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
296,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
297,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
298,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
299,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
300,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
301,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
302,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
303,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
304,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
305,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
306,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
307,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
308,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
309,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
310,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
311,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
312,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
313,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
314,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
315,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
316,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
317,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
318,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
319,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
320,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
321,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
322,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
324,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
325,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
326,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
327,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
328,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
329,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
330,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
331,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
332,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
333,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
334,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
