Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
105,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
107,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
108,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
223,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,NULL
225,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
226,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
228,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,NULL
229,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,NULL
230,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
231,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
232,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
233,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
234,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
236,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
237,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
238,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
240,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
241,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
242,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,NULL
245,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
246,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
247,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
250,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
251,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
272,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
274,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
275,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
276,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
278,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
281,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
284,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
285,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
287,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
290,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
295,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
300,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
301,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
303,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
305,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
306,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
307,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
309,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
311,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
312,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
313,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
314,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
315,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
316,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
317,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
318,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
319,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
320,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
321,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
322,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
323,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
324,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
325,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
326,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
327,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
