Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLP_M_R
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
209,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
211,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
212,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
