Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KET_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KET_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KET_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KET_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KET_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KET_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KET_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KET_M_R
29,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
30,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
40,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
42,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
43,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
45,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
49,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
52,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
53,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
55,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
57,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
59,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
60,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
61,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
62,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
63,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
64,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
65,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
66,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
67,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
68,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
69,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
70,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
71,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
72,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
73,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
74,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
75,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
76,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
77,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
78,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
79,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
80,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
81,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
82,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
83,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
84,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
85,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
86,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
87,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
88,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
89,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
90,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
91,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
92,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
93,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
94,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
95,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
96,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
97,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
98,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
99,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
100,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
101,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
102,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
103,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
104,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
105,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
106,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
107,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
108,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
109,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
110,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
111,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
112,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
113,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
114,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
115,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
116,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
117,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
118,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
119,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
120,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
121,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
122,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
123,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
124,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
125,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
126,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
127,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
128,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
129,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
130,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
131,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
132,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
133,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
134,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
135,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
136,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
137,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
138,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
139,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
140,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
141,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
142,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
143,Cropland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
144,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
145,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
146,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
147,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
148,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
149,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
151,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
152,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
153,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
154,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
155,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
156,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
157,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
158,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
159,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
160,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
161,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
162,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
163,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
164,Cropland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
165,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
166,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
167,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
168,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
169,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
170,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
171,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
172,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
173,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
174,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
175,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
176,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
177,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
178,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
180,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
181,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
183,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
184,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
187,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
188,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
189,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
190,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
191,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
192,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
193,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
194,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
195,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
196,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
197,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
198,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
199,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
200,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
202,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
203,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
204,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
205,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
206,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
207,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
208,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
209,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
210,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
211,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
212,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
214,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
215,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
216,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
217,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
218,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
219,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
220,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
221,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
222,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
224,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
225,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
226,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
227,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
228,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
229,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
230,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
231,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
232,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
233,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
234,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
235,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
236,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
237,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
238,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
239,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
240,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
241,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
242,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
243,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
244,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
245,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
246,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
247,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
248,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
249,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
250,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Water
251,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
252,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
253,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
255,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
256,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
257,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
258,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
259,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
260,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
261,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
262,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
263,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
264,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
265,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
266,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
267,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
268,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
269,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
270,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
271,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
272,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
273,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
274,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
275,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
276,Bareland,NULL,Water,NULL,Water,NULL,NULL,NULL
277,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
278,Bareland,NULL,Water,NULL,Water,NULL,NULL,Wetland
279,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
280,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
281,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
282,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
283,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
284,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
285,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
286,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
287,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
288,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
289,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
290,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
291,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
292,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
293,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
294,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
295,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
296,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
297,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
298,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
299,Bareland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
300,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
302,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
303,Bareland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
304,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
305,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
306,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
307,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
308,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
309,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
310,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
311,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
312,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
313,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
314,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
315,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
316,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
317,Bareland,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
318,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
319,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
320,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
321,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
322,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
323,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
324,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
326,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
327,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
