Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LPJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LPJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LPJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LPJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LPJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LPJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LPJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LPJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Cropland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Cropland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
224,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
225,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
227,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
229,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
230,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Cropland
232,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
