Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
