Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
189,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
