Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KEB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Water
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
